City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Bredasdorp,ZA,-34.53,20.04,55.4,87,0,6.76,clear sky,0,0
1,Hobart,AU,-42.88,147.33,46.0,93,20,5.82,light rain,0,0
2,Muros,ES,42.78,-9.06,62.01,88,45,1.99,scattered clouds,0,0
3,Baruun-Urt,MN,46.68,113.28,68.47,65,99,13.4,overcast clouds,0,0
4,Hilo,US,19.73,-155.09,82.4,58,90,4.7,overcast clouds,0,0
5,Butaritari,KI,3.07,172.79,82.92,72,91,11.32,light rain,0,0
6,Mataura,NZ,-46.19,168.86,39.0,83,99,3.0,overcast clouds,0,0
7,Cape Town,ZA,-33.93,18.42,62.01,87,40,6.93,scattered clouds,0,0
8,Saint George,US,37.1,-113.58,96.01,8,1,8.05,clear sky,0,0
9,Lexington Park,US,38.27,-76.45,73.4,83,75,5.82,light rain,0,0
10,Klaksvik,FO,62.23,-6.59,50.0,93,83,18.34,broken clouds,0,0
11,Kieta,PG,-6.22,155.63,85.69,63,7,1.61,clear sky,0,0
12,Bambanglipuro,ID,-7.95,110.28,78.13,83,98,6.35,overcast clouds,0,0
13,Avarua,CK,-21.21,-159.78,75.2,57,0,9.17,clear sky,0,0
14,Daur,PK,26.46,68.32,87.8,66,0,11.41,haze,0,0
15,Orapa,BW,-21.28,25.37,47.95,89,0,8.43,clear sky,0,0
16,Hurghada,EG,27.26,33.81,84.2,25,0,14.99,clear sky,0,0
17,Saint-Philippe,RE,-21.36,55.77,69.8,73,75,20.8,broken clouds,0,0
18,Luanda,AO,-8.84,13.23,73.4,94,75,5.82,broken clouds,0,0
19,Rikitea,PF,-23.12,-134.97,74.61,82,100,20.94,light rain,0,0
20,Topeka,US,39.05,-95.68,75.2,73,90,3.36,overcast clouds,0,0
21,Nantucket,US,41.28,-70.1,68.0,93,90,6.93,fog,0,0
22,Statesboro,US,32.45,-81.78,82.4,58,75,5.82,broken clouds,0,0
23,Atuona,PF,-9.8,-139.03,80.44,75,2,12.8,clear sky,0,0
24,Dedza,MW,-14.38,34.33,47.59,100,90,3.56,overcast clouds,0,0
25,Bansi,IN,27.18,82.93,77.54,91,100,11.99,moderate rain,0,0
26,Martapura,ID,-3.42,114.85,76.01,95,100,1.07,light rain,0,0
27,Mikun,RU,62.35,50.08,43.48,70,92,11.27,overcast clouds,0,0
28,Trelew,AR,-43.25,-65.31,51.37,45,0,17.43,clear sky,0,0
29,Ozernovskiy,RU,51.5,156.52,44.64,84,100,6.33,overcast clouds,0,0
30,Qaanaaq,GL,77.48,-69.36,36.54,79,91,1.01,overcast clouds,0,0
31,Kapaa,US,22.08,-159.32,82.0,83,75,18.34,light rain,0,0
32,Udachnyy,RU,66.42,112.4,68.0,45,36,4.47,scattered clouds,0,0
33,Torbay,CA,47.67,-52.73,45.0,90,49,1.99,scattered clouds,0,0
34,Sayat,TM,38.78,63.88,68.0,40,0,4.7,clear sky,0,0
35,Jamestown,US,42.1,-79.24,73.0,88,75,3.36,moderate rain,0,0
36,Sao Joao Da Barra,BR,-21.64,-41.05,72.63,89,99,12.97,overcast clouds,0,0
37,Ucluelet,CA,48.93,-125.55,61.0,93,90,2.24,light rain,0,0
38,Sayyan,YE,15.17,44.32,66.54,55,54,2.06,broken clouds,0,0
39,North Battleford,CA,52.78,-108.28,51.01,81,90,17.22,light rain,0,0
40,Kochinda,IN,21.73,84.35,78.8,94,90,4.65,thunderstorm with light rain,0,0
41,Cidreira,BR,-30.18,-50.21,64.96,92,90,13.04,overcast clouds,0,0
42,Tuktoyaktuk,CA,69.45,-133.04,48.2,76,90,11.41,overcast clouds,0,0
43,East London,ZA,-33.02,27.91,66.61,33,0,7.27,clear sky,0,0
44,Lata,PT,40.16,-8.33,62.01,91,0,1.99,clear sky,0,0
45,Arraial Do Cabo,BR,-22.97,-42.03,62.6,93,100,11.1,overcast clouds,0,0
46,Hualmay,PE,-11.1,-77.61,62.44,85,11,11.86,few clouds,0,0
47,Pevek,RU,69.7,170.31,41.61,69,13,10.51,few clouds,0,0
48,Barrow,US,71.29,-156.79,37.4,86,75,8.05,broken clouds,0,0
49,Ushuaia,AR,-54.8,-68.3,35.6,93,40,5.82,scattered clouds,0,0
50,Salalah,OM,17.02,54.09,82.4,88,20,2.24,few clouds,0,0
51,Castro,BR,-24.79,-50.01,58.91,93,1,4.72,clear sky,0,0
52,Lavrentiya,RU,65.58,-171.0,55.87,39,32,11.92,scattered clouds,0,0
53,Punta Arenas,CL,-53.15,-70.92,35.01,81,40,6.93,scattered clouds,0,0
54,Geraldton,AU,-28.77,114.6,48.2,70,0,10.29,clear sky,0,0
55,Asilah,MA,35.47,-6.03,64.4,77,0,1.12,clear sky,0,0
56,Guerrero Negro,MX,27.98,-114.06,71.53,56,56,19.3,broken clouds,0,0
57,Bethel,US,41.37,-73.41,78.8,57,1,10.29,clear sky,0,0
58,Chuy,UY,-33.7,-53.46,55.92,93,97,7.78,light rain,0,0
59,Ponta Do Sol,PT,32.67,-17.1,69.8,73,75,11.41,broken clouds,0,0
60,Petropavlovka,RU,50.61,105.32,61.66,76,100,1.57,light rain,0,0
61,Upernavik,GL,72.79,-56.15,38.93,74,14,7.34,few clouds,0,0
62,Kahului,US,20.89,-156.47,86.0,48,40,24.16,scattered clouds,0,0
63,Moussoro,TD,13.64,16.49,87.3,44,61,15.82,broken clouds,0,0
64,Korla,CN,41.76,86.15,70.45,25,26,12.68,scattered clouds,0,0
65,Dikson,RU,73.51,80.55,34.72,88,0,1.52,clear sky,0,0
66,Kawalu,ID,-7.38,108.21,73.62,91,99,1.63,light rain,0,0
67,Vaini,TO,-21.2,-175.2,77.0,73,75,17.22,broken clouds,0,0
68,Marsh Harbour,BS,26.54,-77.06,80.8,80,99,9.62,overcast clouds,0,0
69,Thompson,CA,55.74,-97.86,48.2,87,90,6.93,overcast clouds,0,0
70,Lebu,CL,-37.62,-73.65,52.16,87,91,13.38,light rain,0,0
71,Maracaibo,VE,10.63,-71.64,83.7,72,48,12.75,scattered clouds,0,0
72,Belvedere Marittimo,IT,39.62,15.86,69.01,63,18,4.0,light rain,0,0
73,Qasigiannguit,GL,68.82,-51.19,53.6,34,20,18.34,few clouds,0,0
74,Luderitz,NA,-26.65,15.16,60.8,38,0,3.36,clear sky,0,0
75,Nikolsk,RU,53.72,46.07,53.01,88,0,2.53,clear sky,0,0
76,Talnakh,RU,69.49,88.4,42.8,100,75,11.18,broken clouds,0,0
77,Neuquen,AR,-38.95,-68.06,53.6,46,34,6.93,scattered clouds,0,0
78,Zelenoborskiy,RU,66.84,32.36,43.79,75,0,6.2,clear sky,0,0
79,Parrita,CR,9.52,-84.32,71.6,88,75,6.93,broken clouds,0,0
80,Kolaras,IN,25.23,77.6,85.71,60,8,15.3,clear sky,0,0
81,Hermanus,ZA,-34.42,19.23,54.0,91,0,11.14,clear sky,0,0
82,Tautira,PF,-17.73,-149.15,86.0,70,75,4.7,broken clouds,0,0
83,Kodiak,US,57.79,-152.41,53.6,71,1,14.99,clear sky,0,0
84,Busselton,AU,-33.65,115.33,42.01,76,0,9.19,clear sky,0,0
