City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
5,Butaritari,KI,82.92,light rain,3.07,172.79,Isles Sunset Lodge
11,Kieta,PG,85.69,clear sky,-6.22,155.63,
12,Bambanglipuro,ID,78.13,overcast clouds,-7.95,110.28,Puri Brata
13,Avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
14,Daur,PK,87.8,haze,26.46,68.32,Ramzan malik home
16,Hurghada,EG,84.2,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
20,Topeka,US,75.2,overcast clouds,39.05,-95.68,Capitol Plaza Hotel Topeka
22,Statesboro,US,82.4,broken clouds,32.45,-81.78,Holiday Inn Statesboro-University Area
23,Atuona,PF,80.44,clear sky,-9.8,-139.03,Villa Enata
25,Bansi,IN,77.54,moderate rain,27.18,82.93,Urvasi Hotel
26,Martapura,ID,76.01,light rain,-3.42,114.85,Montana Hotel Syariah
31,Kapaa,US,82.0,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
40,Kochinda,IN,78.8,thunderstorm with light rain,21.73,84.35,Shristi Lodge
50,Salalah,OM,82.4,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
57,Bethel,US,78.8,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
62,Kahului,US,86.0,scattered clouds,20.89,-156.47,Maui Seaside Hotel
63,Moussoro,TD,87.3,broken clouds,13.64,16.49,Pharmacie alnadja Moussoro
67,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
68,Marsh Harbour,BS,80.8,overcast clouds,26.54,-77.06,Abaco Beach Resort
71,Maracaibo,VE,83.7,scattered clouds,10.63,-71.64,Motel Aladdin
80,Kolaras,IN,85.71,clear sky,25.23,77.6,Shiv Shakti Garden (Gayatri Colony)
82,Tautira,PF,86.0,broken clouds,-17.73,-149.15,Pension Oaoa
86,Sabang,ID,83.3,light rain,5.89,95.32,Hotel Citra
91,Albany,US,84.0,light rain,42.6,-73.97,
92,Saskylakh,RU,75.76,scattered clouds,71.92,114.08,
93,Avera,US,86.0,clear sky,33.19,-82.53,
97,Hasaki,JP,75.99,few clouds,35.73,140.83,Inubosaki Kanko Hotel
102,Georgetown,MY,78.01,few clouds,5.41,100.34,Cititel Penang
104,Hienghene,NC,75.56,clear sky,-20.68,164.93,Ka Waboana Lodge
106,Xiongyue,CN,77.68,clear sky,40.18,122.12,Samsung Business Hotel
107,Merauke,ID,80.73,broken clouds,-8.47,140.33,
111,Ixtapa,MX,84.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
113,Hithadhoo,MV,83.28,moderate rain,-0.6,73.08,Scoop Guest House
115,Almaznyy,RU,75.2,overcast clouds,48.04,40.05,
117,Yellowknife,CA,75.2,few clouds,62.46,-114.35,The Explorer Hotel
123,Ouargaye,BF,78.96,scattered clouds,11.5,0.06,Auberge Belle Etoile
124,Basco,PH,84.27,broken clouds,20.45,121.97,Nathaniel's Lodge
126,Faanui,PF,80.1,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
127,Kavieng,PG,84.11,light rain,-2.57,150.8,Nusa Island Retreat
128,Fenelon Falls,CA,80.6,clear sky,44.53,-78.75,Road 121 Motel
129,Pilar,BR,77.0,broken clouds,-9.6,-35.96,Pousada Manguaba
130,Waingapu,ID,79.14,overcast clouds,-9.66,120.26,Pondok Wisata Elim
132,Tuy Hoa,VN,78.98,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
136,Hami,CN,77.88,overcast clouds,42.8,93.45,Laoyutang Resort
139,Norman Wells,CA,78.8,broken clouds,65.28,-126.83,Heritage Hotel
