City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nizwa,OM,2020-06-17 00:10:22,22.93,57.53,86.65,39,31,0.94
1,Yellowknife,CA,2020-06-17 00:08:48,62.46,-114.35,64.4,45,20,16.11
2,Vicuna,CL,2020-06-17 00:10:22,-30.03,-70.71,46.99,62,17,1.99
3,Ilo,PE,2020-06-17 00:05:43,-17.64,-71.34,62.51,82,47,6.87
4,Nuuk,GL,2020-06-17 00:10:23,64.18,-51.72,35.6,87,96,14.99
5,Rikitea,PF,2020-06-17 00:10:23,-23.12,-134.97,75.6,78,74,13.38
6,Zhanakorgan,KZ,2020-06-17 00:10:23,43.91,67.25,59.7,50,0,6.46
7,Ushuaia,AR,2020-06-17 00:10:23,-54.8,-68.3,37.4,86,75,16.11
8,Punta Arenas,CL,2020-06-17 00:10:23,-53.15,-70.92,35.6,79,20,10.29
9,Namibe,AO,2020-06-17 00:05:24,-15.2,12.15,72.25,57,0,6.2
10,Coro,VE,2020-06-17 00:10:24,11.4,-69.67,80.22,72,15,17.2
11,Kapaa,US,2020-06-17 00:10:24,22.08,-159.32,79.0,78,75,18.34
12,Beisfjord,NO,2020-06-17 00:10:24,68.38,17.6,46.4,81,0,16.11
13,Georgetown,MY,2020-06-17 00:09:26,5.41,100.34,78.8,94,20,2.24
14,Carnarvon,AU,2020-06-17 00:10:25,-24.87,113.63,59.0,41,0,9.17
15,Avarua,CK,2020-06-17 00:10:25,-21.21,-159.78,75.2,57,2,12.75
16,Nishihara,JP,2020-06-17 00:10:25,26.18,127.76,86.0,83,75,17.22
17,Busselton,AU,2020-06-17 00:10:26,-33.65,115.33,61.0,50,84,27.22
18,Castro,BR,2020-06-17 00:10:26,-24.79,-50.01,56.14,96,13,5.82
19,Tuatapere,NZ,2020-06-17 00:10:26,-46.13,167.68,45.68,87,81,14.27
20,Oranjemund,NA,2020-06-17 00:10:26,-28.55,16.43,64.4,26,0,19.53
21,Butaritari,KI,2020-06-17 00:10:26,3.07,172.79,82.92,80,2,11.54
22,Havre-Saint-Pierre,CA,2020-06-17 00:10:26,50.23,-63.6,64.4,48,40,11.41
23,Soyo,AO,2020-06-17 00:10:27,-6.13,12.37,72.79,92,16,2.66
24,Puerto Ayora,EC,2020-06-17 00:10:27,-0.74,-90.35,72.0,89,51,1.99
25,Vaini,TO,2020-06-17 00:10:27,-21.2,-175.2,77.0,61,20,10.29
26,Jaque,PA,2020-06-17 00:10:27,7.52,-78.17,80.78,80,99,0.76
27,Mason City,US,2020-06-17 00:10:27,43.15,-93.2,84.2,35,1,16.11
28,Saint-Philippe,RE,2020-06-17 00:10:28,-21.36,55.77,64.4,88,90,5.82
29,Lata,PT,2020-06-17 00:10:28,40.16,-8.33,62.01,85,27,1.88
30,Klang,MY,2020-06-17 00:10:28,3.03,101.45,81.0,88,20,1.79
31,Atuona,PF,2020-06-17 00:08:20,-9.8,-139.03,80.4,76,5,19.73
32,Djibo,BF,2020-06-17 00:10:28,14.1,-1.63,93.61,29,43,12.03
33,Tiksi,RU,2020-06-17 00:10:29,71.69,128.87,50.99,52,55,8.93
34,Hilo,US,2020-06-17 00:10:11,19.73,-155.09,78.8,74,90,10.29
35,Faanui,PF,2020-06-17 00:10:29,-16.48,-151.75,80.19,80,84,8.32
36,Bluff,NZ,2020-06-17 00:10:30,-46.6,168.33,46.96,87,81,22.21
37,Castro Verde,PT,2020-06-17 00:10:30,37.7,-8.09,64.4,72,6,9.17
38,Margate,GB,2020-06-17 00:10:30,51.38,1.39,60.01,85,42,2.37
39,Kaitangata,NZ,2020-06-17 00:10:30,-46.28,169.85,54.0,61,100,8.01
40,Rawson,AR,2020-06-17 00:10:30,-43.3,-65.1,51.69,50,41,6.11
41,Rocha,UY,2020-06-17 00:10:31,-34.48,-54.33,60.12,94,26,8.88
42,Kocevje,SI,2020-06-17 00:06:04,45.64,14.86,63.0,78,86,3.0
43,Mar Del Plata,AR,2020-06-17 00:10:31,-38.0,-57.56,59.0,100,90,2.24
44,Kyra,RU,2020-06-17 00:10:31,49.58,111.98,64.36,63,62,8.14
45,Port Lincoln,AU,2020-06-17 00:10:31,-34.73,135.87,56.3,71,19,6.02
46,Joigny,FR,2020-06-17 00:10:32,47.98,3.4,55.0,94,71,5.46
47,Zhangye,CN,2020-06-17 00:10:32,38.93,100.45,72.64,28,77,5.14
48,Sao Filipe,CV,2020-06-17 00:10:32,14.9,-24.5,76.39,80,0,9.62
49,Bilibino,RU,2020-06-17 00:10:32,68.05,166.44,74.25,28,85,2.57
50,Saint Simons,US,2020-06-17 00:10:32,31.14,-81.39,73.4,69,90,9.17
51,Lubango,AO,2020-06-17 00:10:33,-14.92,13.49,53.06,44,0,2.93
52,Yanliang,CN,2020-06-17 00:10:33,34.66,109.23,69.01,100,90,2.24
53,Nikolskoye,RU,2020-06-17 00:10:33,59.7,30.79,66.2,88,89,2.24
54,Morros,BR,2020-06-17 00:10:33,-9.45,-46.3,77.13,55,48,6.69
55,Brigantine,US,2020-06-17 00:10:34,39.41,-74.36,66.2,68,1,10.29
56,Mahebourg,MU,2020-06-17 00:10:34,-20.41,57.7,69.8,88,75,12.75
57,Mao,ES,2020-06-17 00:10:34,39.89,4.27,68.0,77,0,1.12
58,Hermanus,ZA,2020-06-17 00:10:34,-34.42,19.23,54.0,81,0,1.01
59,Havelock,US,2020-06-17 00:08:11,34.88,-76.9,70.0,95,7,7.0
60,Olafsvik,IS,2020-06-17 00:10:35,64.89,-23.71,46.36,81,91,8.66
61,Dikson,RU,2020-06-17 00:10:35,73.51,80.55,31.93,94,100,14.12
62,Port Elizabeth,ZA,2020-06-17 00:10:35,-33.92,25.57,59.0,82,0,8.05
63,Buala,SB,2020-06-17 00:10:35,-8.14,159.59,80.42,80,100,3.29
64,Geraldton,AU,2020-06-17 00:10:36,-28.77,114.6,55.4,47,90,19.46
65,Asau,RO,2020-06-17 00:10:36,46.43,26.4,63.0,100,100,2.24
66,Urumqi,CN,2020-06-17 00:10:21,43.8,87.6,78.8,29,56,6.71
67,Albany,US,2020-06-17 00:10:12,42.6,-73.97,77.0,51,0,1.21
68,Ca Mau,VN,2020-06-17 00:10:36,9.18,105.15,80.04,86,90,0.36
69,Chuy,UY,2020-06-17 00:10:37,-33.7,-53.46,61.07,93,20,8.93
70,Vila Franca Do Campo,PT,2020-06-17 00:10:37,37.72,-25.43,64.4,88,20,12.75
71,Lebu,CL,2020-06-17 00:10:37,-37.62,-73.65,52.79,92,100,12.66
72,Luanda,AO,2020-06-17 00:05:51,-8.84,13.23,71.6,94,20,5.82
73,Klaksvik,FO,2020-06-17 00:06:04,62.23,-6.59,50.0,93,100,21.92
74,Bexhill,AU,2020-06-17 00:10:37,-28.77,153.35,61.0,100,90,1.12
75,Cidreira,BR,2020-06-17 00:10:38,-30.18,-50.21,63.73,94,2,13.98
76,Necochea,AR,2020-06-17 00:10:38,-38.55,-58.74,57.0,95,100,5.99
77,Shellbrook,CA,2020-06-17 00:10:38,53.22,-106.4,73.4,35,75,1.19
78,Tautira,PF,2020-06-17 00:10:39,-17.73,-149.15,82.4,78,75,18.34
79,Port Blair,IN,2020-06-17 00:09:11,11.67,92.75,80.91,84,100,15.17
80,Nanortalik,GL,2020-06-17 00:10:39,60.14,-45.24,37.69,84,52,11.01
81,Raudeberg,NO,2020-06-17 00:10:40,61.99,5.14,64.99,76,38,2.39
82,Longyearbyen,SJ,2020-06-17 00:10:40,78.22,15.64,37.4,69,75,10.29
83,Hami,CN,2020-06-17 00:10:40,42.8,93.45,82.26,15,0,10.92
